,Forest fires,Crop Residues,Rice Cultivation,Drained organic soils (CO2),Pesticides Manufacturing,Food Transport,Forestland,Net Forest conversion,Food Household Consumption,Food Retail,On-farm Electricity Use,Food Packaging,Agrifood Systems Waste Disposal,Food Processing,Fertilizers Manufacturing,IPPU,Manure applied to Soils,Manure left on Pasture,Manure Management,Fires in organic soils,Fires in humid tropical forests,On-farm energy use,Rural population,Urban population,Total Population - Male,Total Population - Female,total_emission,Average Temperature Â°C
Belarus,-0.24590952185560247,-0.19052376615898248,-0.19415261105697915,2.180355274729511,-0.17123299461512156,-0.1720048764499956,-0.35649792562874255,-0.2240797496293188,-0.15058463240317568,-0.20376789705626153,-0.11674142900148754,-0.11427400509014757,-0.17074761806006852,-0.10662100976141672,0.41089879601808443,-0.047369717476560706,0.055538680356667536,-0.35023623837973317,-0.022611086364897143,-0.08148302180291511,-0.21346912432629045,-0.013305228674170133,-0.1930781230350908,-0.167184250959803,-0.1882101930620377,-0.18384997993208338,-0.1040077830284442,3.05768558137008
Belgium,-0.25359107203916254,-0.2623879617771133,-0.2060866854895682,-0.19693668368410663,-0.19845183008304443,-0.07845444186061959,0.19598061664446187,-0.2240797496293188,-0.1503790058980732,-0.06818873551471052,-0.1361965489477042,-0.1009839418536594,-0.2198458528894797,-0.023859930204951522,-0.1189956999791209,-0.09708602423922065,-0.048678482138246666,-0.3567740013643172,-0.004959271194008531,-0.08148302180291511,-0.21346912432629045,-0.08338174359451025,-0.21447576678046018,-0.12479719324677481,-0.17338623053358126,-0.17566099864076953,-0.14531236055418176,1.7675711083794072
Belize,-0.20462594411190005,-0.3044721309536146,-0.24654086949999732,-0.1985832662339745,-0.24900109595204406,-0.35300725332393657,0.19591196650655524,-0.14248791062422936,-0.1760118361064545,-0.24822084828316762,-0.15834963175484532,-0.12923518098334202,-0.26349306795684174,-0.19996992174980763,0.1509175359120976,-0.1870976861410579,-0.3213371786382288,-0.3950183856477942,-0.3209660499825743,-0.08148302180291511,-0.15872076798469026,-0.22713665892753476,-0.21458061360425154,-0.24626264940905496,-0.23807794428737483,-0.24526318809358638,-0.2214481824454741,0.37952903024491214
Benin,-0.23783593810773845,-0.26598965480326187,-0.24202855048813543,-0.20846481670138842,-0.16497491307683124,-0.2502375864640348,0.1954371833197945,-0.0498864377841036,-0.1757848061075003,-0.20138132429443184,-0.15708861823990392,-0.13202062755947735,-0.23510155550953135,-0.20921103917635675,-0.2434976804753298,-0.18464356805352175,-0.2936823828097632,-0.2564924927591182,-0.2933685427943077,-0.08148302180291511,-0.19585316531218183,-0.22714426936569654,-0.13895292896735614,-0.18467067963996125,-0.1660636569356071,-0.17002853157933914,-0.20594129767885985,-0.6934107248070319
Bermuda,-0.25359107203916254,0.0,-0.16670311442081215,-0.20846481670138842,-0.266110078246167,-0.35932600450728336,2.3073516889161313e-17,0.0,-0.17749373923828532,-0.25048203955651444,-0.15737415481886705,-0.12824228729333917,-0.2704274261024076,-0.18571966788545294,-0.11949605547838929,0.0,0.0,0.2175285730213337,0.0,-0.08148302180291511,-0.21346912432629045,-0.2308029750221717,-0.21727097659051217,-0.24759003318288145,-0.24004943441501556,-0.24726845382733115,-0.22706265097616762,-0.48633265401964054
Bhutan,-0.25194075733879223,-0.30468891946384985,-0.24436038130475263,-0.20846481670138842,-0.266110078246167,-0.35918371717625447,0.17925953604241354,-0.2240797496293188,-0.17679663164660342,-0.24883374383924695,-0.15852046081406126,-0.12923518098334202,-0.26588910053444886,-0.19774925378258695,0.002047111839363047,-0.1814182331222082,-0.31939202002163825,-0.3942939703297534,-0.31773781236321547,-0.08148302180291511,-0.21296218413912477,-0.23154422670321329,-0.2112371495835047,-0.2444183633749035,-0.23560466493655854,-0.24320910044523517,-0.24692874038452656,-0.49783977462139173
Bolivia (Plurinational State of),2.1475910796159954,-0.20414019669570124,-0.22706065126389344,-0.20846481670138842,0.1452831778261531,-0.20343204159560235,0.1919342263134278,0.8726245478093989,-0.11045344431908462,-0.17574310016740582,-0.14567670701429164,-0.13300289995876446,-0.18727302223970668,-0.10603842451452136,-0.26888277385961196,0.1314986756975402,-0.11054033111261796,0.17482197020978082,-0.17679754891153604,-0.08148302180291511,2.2418097959358665,-0.17931302355950932,-0.17407729120698195,-0.16056224773217237,-0.17003903910225002,-0.17456090030642815,0.2583684833031882,-0.2732742940303038
Bosnia and Herzegovina,-0.2483264739374697,-0.28219377402000095,-0.23233673829320006,-0.20247540754578788,-0.2007848731231521,-0.2791393583893933,0.17333137084473413,-0.2240797496293188,-0.16861456217090046,-0.2026318531429726,-0.15553485956874308,-0.12660763112462087,-0.2340955327814861,-0.19399194417015125,-0.26385772285613823,-0.1739414555304172,-0.2636035845699523,-0.3828559519854837,-0.2666984569589146,-0.08148302180291511,-0.21346912432629045,-0.22066782812265526,-0.19493654926735496,-0.22967207993761785,-0.22123641961305693,-0.22694184515196453,-0.2435797389573553,0.6805604782777683
Botswana,-0.25359107203916254,-0.30354315831405154,-0.23261231338844024,-0.17261195758482437,-0.266110078246167,-0.32209770211342176,0.19598061664446187,0.432213332313251,-0.17126084844158887,-0.21944438126245605,-0.15281366125513768,-0.13283685870756648,-0.2635438563565776,-0.20391843504083224,-0.242141925998652,-0.18688333620034667,-0.31920365544581203,-0.340952578229355,-0.3155999326265882,-0.08148302180291511,-0.21346912432629045,-0.18481499565709764,-0.20846001119805027,-0.22970022143117033,-0.22565390759818568,-0.23181123146947638,-0.10501353731363848,-2.1718475153819945
Brazil,5.301643284481509,3.0443435986719147,-0.07364996424135982,-0.1812186262984961,5.450623051031007,3.5886891676611956,-3.221467452339346,10.360551859073555,0.3047615985806353,0.8907695655482496,0.08529574490310933,0.19588117796239457,3.023357578876269,0.1677998527859021,-0.10672212455230469,0.1211824153047014,2.784715650028407,8.891541883517881,1.4522158007103427,-0.08148302180291511,5.958775417637892,1.8814814557769457,0.12895367393642998,1.7688533858851219,0.9901233526665265,1.0859415823079033,2.3481603532465085,-0.07471861277349941
British Virgin Islands,-0.25359107203916254,0.0,-0.10801150516008162,-0.20846481670138842,-0.2573744880168707,-0.36000817198997137,2.3073516889161313e-17,0.0,-4.1777796453611674e-17,-0.2502875019407047,-0.11920636816134285,-0.07364386567015431,-0.27068459403315237,-0.12030103168363539,-0.04947028168715676,-0.18711039435368668,0.0,0.2270355048871499,0.0,-0.08148302180291511,-0.21346912432629045,-0.23209265286242836,-0.21706055657936288,-0.24807538187480055,-0.2402377976829846,-0.2474785762625309,-0.21195134799913953,-0.4480942567689313
Brunei Darussalam,-0.25336497401121766,-0.30618474524041256,-0.24644267342203366,-0.1946142069785478,-0.266110078246167,-0.3390850586993019,0.19575297775960507,-0.22378904121781015,-0.16716254675937137,-0.22887164951488753,-0.15280206148509756,-0.1331329858949582,-0.2634391927828942,-0.20403437866371313,0.11392871119242268,-0.18246193109310238,-0.31547610816214977,-0.39645939235770467,-0.3192983070147277,-0.051577971702497706,-0.21321632205810387,-0.23197922902365467,-0.21606019114247463,-0.24447909830729334,-0.23772718390802255,-0.24505484927582627,-0.23526565506763936,0.4594061189108487
Bulgaria,-0.2532378888924845,-0.18554447978481986,-0.24118774302671245,-0.14599580432957,-0.1782321237354446,-0.2443968188517686,-0.2889145629166269,-0.17146793880743946,-0.15803657378809752,-0.2103814647305273,-0.14820674973666034,-0.11303073694497598,-0.2242276258719027,-0.16720290154087905,-0.26998990094233416,-0.16072161029488743,-0.24038206826625438,-0.38046766842975305,-0.2646588812987426,-0.08148302180291511,-0.21346912432629045,-0.18304289597196735,-0.19613767908936014,-0.19134606288307557,-0.20065581536669708,-0.20346768063045684,-0.3315606239623683,1.0368805161523589
Burkina Faso,-0.253450575245861,-0.21670142709172274,-0.1739307271358689,-0.20846481670138842,-0.2412242858183518,-0.3167257187347266,0.4191884471454677,-0.11870430866111327,-0.17070613529263887,-0.2041296455532117,-0.1577995009890983,-0.12571496661808043,-0.16717367750353335,-0.18381327885949134,-0.2434976804753298,-0.178072825207377,-0.20419885270384977,0.27705138566470194,-0.1818271289217963,-0.08148302180291511,-0.21346912432629045,0.0,-0.03561203217879654,-0.17894480642064337,-0.11453268588756838,-0.11477726654183168,-0.12821842683933804,-0.5718895311960347
Burundi,-0.25274855281471337,-0.2874111441911924,-0.24143402137584483,-0.035971042210472474,-0.266110078246167,-0.3489929521025222,0.19598061664446187,-0.2240797496293188,-0.17742886958699788,-0.23861706582607997,-0.1582939744062133,-0.12923518098334202,-0.21297339047052644,-0.19996992174980763,-0.2434976804753298,-0.1866437781657325,-0.29528956702458686,-0.3378008901234979,-0.29935134484940024,-0.08148302180291511,-0.21346912432629045,-0.2297036663807025,-0.08824575137402693,-0.230519401027552,-0.16916617224468217,-0.171980916131201,-0.23900712794432796,-0.38075825967739896
Cabo Verde,-0.25359107203916254,-0.30607009938648183,-0.23270611057621826,-0.20846481670138842,-0.26688775925953623,-0.3573280134445636,0.19518248902489685,-0.2240797496293188,-0.1770396011505829,-0.24868222342574856,-0.1584167308580742,-0.12923518098334202,-0.26603649821996583,-0.19996992174980763,-0.21168900510680477,-0.18709319157458357,-0.3211497375798467,-0.39680971366734985,-0.3203152808493441,-0.08148302180291511,-0.21346912432629045,-0.2313657477732387,-0.2149015285420983,-0.24415078088251443,-0.23700999654918892,-0.24407266650546014,-0.2549148420380096,-0.3751706931650358
Cambodia,0.6906950159634879,-0.1128562188346985,0.47615040927370594,-0.20846481670138842,-0.1587465115011935,-0.236375665007477,0.16776376347778524,0.2818231230823224,-0.1491614344224179,-0.20498230084353586,-0.11688621200181513,-0.10928662702533404,-0.1975856059626862,-0.11320484572934748,-0.21631794751205788,-0.15690348730573547,-0.21320591833594837,-0.32182556634848164,-0.15046438571220205,-0.08148302180291511,0.4241626108352901,-0.23232731914110683,-0.0586601117061761,-0.20437236813070872,-0.14510340187787277,-0.14580839674052354,-0.05157944132634461,-0.16767166613208667
Cameroon,0.23356799773883527,-0.24133902782761332,-0.2164269935584698,-0.1208217529270699,-0.16734458954827544,-0.29749327815388693,0.18161152883627923,0.30807549322827776,-0.17171586389109528,-0.24365421804871287,-0.1573803578433026,-0.12965381730351835,-0.16853914918487342,-0.20766963327024804,-0.2434976804753298,-0.17825294029805389,-0.24641075715843366,-0.06784602728509406,-0.24461142715828177,-0.08148302180291511,0.31921597471105007,0.0,-0.0793037149283161,-0.08640054082677615,-0.08526616150966058,-0.08431509800557566,-0.10442339398864076,-0.23887882168660068
Canada,-0.19324961333046892,0.7513912022599597,-0.16798533302964588,1.9671414619741847,1.032617214080439,2.416521948787264,-0.8279330964103492,1.3329464400466873,-0.012614527727560504,0.2907144807682876,-0.09836794631201944,0.07820003448768739,-0.011916035918657534,0.08486321493301079,1.4606803874066285,0.19142075311183157,0.149517827414824,-0.0027735807132970984,0.7209522513891249,-0.08148302180291511,-0.21346912432629045,1.3689230834551578,-0.13044371754279346,0.08397075830385271,-0.01931240563961986,-0.013195468339161088,0.4832615543663936,-0.3173346098424726
Cayman Islands,-0.25359107203916254,0.0,-0.15141830805650253,-0.20846481670138842,-0.25795913777975177,-0.35744843245424646,0.1959336765418522,-0.2240797496293188,-0.17742352962313854,-0.24946125585543705,-0.15737415481886705,-0.12863496548897482,-0.2688427850182222,-0.18738308306274126,-0.11949605547838929,0.0,0.0,-0.18446375402308202,0.0,-0.08148302180291511,-0.21346912432629045,-0.23121729426997223,-0.21727097659051217,-0.247554818403998,-0.24001417869268604,-0.247265034202171,-0.23892805150033217,-0.41952611651652133
Central African Republic,5.318033409620379,-0.3037233836885992,-0.24627741052283458,-0.2052499757129866,-0.266110078246167,-0.3566407051556203,0.19598061664446187,0.0013683833404012156,-0.17734039844383145,-0.23015419232301879,-0.15835370424376963,-0.12923518098334202,-0.24619035330725136,-0.19996992174980763,-0.07470739201032021,-0.18699036011643172,-0.27959801616671554,-0.14931159528944027,-0.2743122205153973,-0.08148302180291511,5.733141956134916,-0.2313530498321045,-0.1816496689597177,-0.2257538914796593,-0.20903166834936301,-0.21482078695888557,-0.033814146021922155,-0.49314948293816024
Chad,0.04680611266226582,-0.2550845252370388,-0.22565323462827275,-0.20846481670138842,-0.2653323972327978,-0.3355360720651316,0.19641791244161516,0.15334475460810718,-0.17504915660892653,-0.22287484666886667,-0.15729569029579005,-0.12863732311218465,-0.20732081109949585,-0.18501917664220424,-0.2434976804753298,-0.18592942792019224,-0.2120664957065506,1.7743258467077347,0.010941082923765706,-0.08148302180291511,0.11263101840857323,-0.2258394455877854,-0.06129275383590853,-0.2067575601009789,-0.14229060123040552,-0.14570590639219888,-0.07360486043747216,-0.4451095256977837
Channel Islands,-0.25359107203916254,0.0,0.2989269026709226,-0.20846481670138842,-0.06579229241801748,0.008676644558016049,2.3073516889161313e-17,0.0,-4.1777796453611674e-17,-0.15934253902263884,-0.11237023836580255,-0.05057350600588176,-0.27040343191488714,-0.08746730933089812,-0.12301025162137759,0.0,0.0,0.0394169555286483,0.0,-0.08146013540424482,0.0,0.0,-0.21582213174526374,-0.24768482387190288,-0.039388215719972045,-0.04009765466059434,-0.18227828531520557,0.8391776152015961
Chile,-0.199762746027398,-0.26682594935842857,-0.23740857754763173,-0.14950740932986378,-0.13390430597339875,0.07245613806100185,-0.5431512980490301,-0.2240797496293188,-0.1245867875297148,0.09848044752252184,-0.13087641317846405,-0.048589805183600204,-0.0379635481749716,-0.19768738926480486,-0.1820399074370009,-0.15696510846348513,-0.09147873317024038,-0.21231336958535207,-0.24514582485050107,-0.08148302180291511,-0.21346912432629045,-0.10586955587410425,-0.18887936591462712,-0.07270836104752194,-0.1279050216476906,-0.1281072360338801,-0.3488097969207292,-0.9822189884532858
China,-0.08966025523831614,8.035064968987005,8.21643503696924,0.014523791634324029,6.362842879713108,6.107792969561873,-8.071531898992642,-0.2240797496293188,10.531948526999852,9.264577530228228,6.364051579184464,10.612041674970806,8.623274806537122,9.72416993330498,9.960702137611689,10.266743168805412,8.838735405336426,5.009447077510392,7.991776299083901,-0.08148302180291511,-0.21346912432629045,10.022512696604888,6.726864132094193,9.523044683847747,8.492326042061464,8.527007712158477,9.709042153962203,0.12099446746314227
"China, Hong Kong SAR",-0.25359107203916254,0.0,-0.24667783255942755,-0.20846481670138842,-0.2653323972327978,-0.22475430745616823,2.3073516889161313e-17,0.0,-0.055634257294379603,-0.0750584646541289,-0.1577799142566529,-0.13298681598064355,-0.14395140281502167,-0.19730789749859315,-0.22888268193530734,-0.17944397009059215,-0.32164461099880937,-0.39956272258142006,-0.31819168437578527,-0.08148302180291511,-0.21346912432629045,0.0,-0.21727097659051217,-0.16649083069373086,-0.1997526018114279,-0.19799535781348646,-0.21529955751167437,0.43453335998462683
"China, Macao SAR",-0.25359107203916254,0.0,-0.20330707729459738,-0.20846481670138842,-0.266110078246167,-0.3522484193900667,2.3073516889161313e-17,0.0,-0.1767085899973044,-0.24738389768575073,-0.15713696195142238,-0.12923518098334202,-0.26216754723025903,-0.19774925378258695,-0.12086990864006429,-0.18615401080503913,-0.32313929099928473,-0.3998131082802422,-0.322007778721102,-0.08148302180291511,-0.21346912432629045,-0.23022979412263406,-0.21727097659051217,-0.24118577449081352,-0.23668221933059574,-0.24326409736642576,-0.2480694269087302,0.43453335998462683
"China, mainland",-0.08966025523831614,8.008847282877799,8.140792003442067,0.014523791634324029,6.117873360501802,5.3131588906569664,-8.071531898992642,-0.2240797496293188,10.070389653443595,8.91457358302498,6.232491663210258,10.44926130892569,8.487933369518998,9.540481879599602,9.850532177612703,10.108167318177152,8.740593899192277,4.981994916680488,7.837575525753456,-0.08148302180291511,-0.21346912432629045,9.885182464874191,6.664051329205228,9.230561183306364,8.309202758584338,8.32520202676277,9.465753770851656,0.11999955710609878
"China, Taiwan Province of",-0.25359107203916254,-0.2800124641695991,-0.17103479903225452,-0.20846481670138842,-0.02347360207496877,0.2897664538510182,2.3073516889161313e-17,0.0,0.16120356509163464,-0.08052845613712167,-0.027851213250891235,0.028980466850938295,-0.060192665207834575,-0.027200539052649034,-0.1601302643302568,-0.03716978571825769,-0.22744464432322062,-0.3730156897027587,-0.17194286319183374,-0.08148302180291511,-0.21346912432629045,-0.09727268335943604,-0.1544581737015465,-0.04458051579445816,-0.10168024871898684,-0.09996139611284238,-0.04399991255199609,0.29027135821251293
Colombia,-0.13575588208901726,-0.23146319536318075,-0.05048065691458791,-0.16829879143991802,0.4586886262139509,0.1835429132305735,0.19241082850051663,1.1115911532495077,-0.062231239459178675,0.04097104990559406,-0.14698880261253036,-0.08802313289711479,0.21999270337779017,0.066948959629332,-0.18054164883260232,-0.1359319013443243,0.21257833606607754,0.797012777795495,-0.0642033016826779,-0.08148302180291511,-0.08929470223835362,0.001700915056569231,-0.10044646767934422,0.19469455871642416,0.05482849936685409,0.06957559919887969,0.217413627694768,0.07366516047782332
Comoros,-0.25359107203916254,-0.30527963328476565,-0.23619998557269917,-0.20846481670138842,-0.26688775925953623,-0.35715250982048574,0.19598061664446187,-0.2231101340983368,-0.17749723490494937,-0.2509376890298063,-0.1585591027724611,-0.12923518098334202,-0.2672743115465066,-0.19996992174980763,0.026464800462474274,-0.18709364586047533,-0.3231329583082397,-0.39632375757605764,-0.3217092750354157,-0.08148302180291511,-0.21346912432629045,-0.2316113717506271,-0.20958011391184594,-0.24547944283041295,-0.23565757200820892,-0.2427396523351214,-0.24487999794652096,-0.8931034464718879
